"name","category","size","duration","format","profile","hdr","bitrate","framerate","resolution","audios","subtitles","audio_langs","subtitle_langs"
"Brother (1997) [imdbid-tt0118767] - [WEBDL-1080p][EAC3 5.1][x264].mkv","movies","5.38 GiB","01:35:23","AVC","High","-","7428 kb/s","25.000","1920x1080","[ru, E-AC-3, 640 kb/s, 6ch, default]","[ru, SRT]; [en, SRT, default]","ru","en,ru"
"Pirates of the Caribbean Dead Mans Chest (2006) [imdbid-tt0383574] - [WEBDL-1080p][AC3 5.1][x264].mkv","movies","11.77 GiB","02:30:50","AVC","Progressive High","-","6000 kb/s","23.976","1920x1080","[ru, AC-3, 640 kb/s, 6ch, default]; [ru, AC-3, 448 kb/s, 6ch]; [ru, AC-3, 448 kb/s, 6ch]; [ru, AC-3, 192 kb/s, 2ch]; [ru, E-AC-3, 768 kb/s, 6ch]; [ru, E-AC-3, 768 kb/s, 6ch]; [ru, E-AC-3, 768 kb/s, 6ch]; [ru, E-AC-3, 768 kb/s, 6ch]; [en, E-AC-3, 448 kb/s, 6ch, default]; [en, AC-3, 192 kb/s, 2ch]","[ru, SRT, default]; [ru, SRT]; [ru, SRT]; [ru, SRT]; [ru, SRT]; [en, SRT, default]; [en, SRT]; [en, SRT]","en,ru","en,ru"
"The Lord of the Rings The Return of the King (2003) [imdbid-tt0167260] - [WEBDL-1080p][DTS 2.0][x264].mkv","movies","39.09 GiB","04:23:08","AVC","High","-","14751 kb/s","23.976","1920x804","[ru, DTS, 1509 kb/s, 2ch, default]; [ru, AC-3, 384 kb/s, 6ch]; [ru, E-AC-3, 768 kb/s, 6ch]; [ru, E-AC-3, 768 kb/s, 6ch]; [ru, E-AC-3, 768 kb/s, 6ch]; [ru, E-AC-3, 768 kb/s, 6ch]; [ru, E-AC-3, 768 kb/s, 6ch]; [en, E-AC-3, 768 kb/s, 6ch, default]","[ru, ASS]; [ru, SRT]; [ru, SRT]; [ru, SRT]; [en, SRT, default]; [en, SRT]","en,ru","en,ru"
"The Godfather Part II (1974) [imdbid-tt0071562] - [Bluray-1080p][AAC 5.1][x265]-Tigole.mkv","movies","11.51 GiB","03:20:33","HEVC","Main 10","-","7748 kb/s","23.976","1920x1040","[en, AAC, 369 kb/s, 6ch, default]; [en, AAC, 66 kb/s, 2ch]","[en, VobSub, default]; [en, VobSub, forced]; [en, VobSub]","en","en"
"WALL·E (2008) [imdbid-tt0910970] - [WEBDL-1080p][AC3 5.1][x264].mkv","movies","7.51 GiB","01:38:42","AVC","High","-","-","23.976","1920x802","[ru, AC-3, 640 kb/s, 6ch]; [ru, AC-3, 448 kb/s, 6ch]; [ru, AC-3, 448 kb/s, 6ch]; [en, DTS, 1509 kb/s, 6ch, default]","[ru, SRT]; [ru, SRT]; [en, SRT, default]; [en, SRT]","en,ru","en,ru"
"Wreck-It Ralph (2012) [imdbid-tt1772341] - [Bluray-1080p][DTS 5.1][x264].mkv","movies","8.88 GiB","01:41:13","AVC","High","-","7586 kb/s","23.976","1920x804","[ru, DTS, 1509 kb/s, 6ch, default]; [ru, DTS, 1509 kb/s, 6ch]; [en, DTS, 1509 kb/s, 6ch, default]; [en, AC-3, 192 kb/s, 2ch]","[ru, SRT]; [ru, SRT]; [en, SRT, default]; [en, SRT]","en,ru","en,ru"
"Harry Potter and the Half-Blood Prince (2009) [imdbid-tt0417741] - {Extended} [WEBDL-1080p][AC3 5.1][x264].mkv","movies","8.82 GiB","02:29:06","AVC","High","-","7814 kb/s","29.970","1920x1080","[ru, AC-3, 448 kb/s, 6ch, default]; [en, E-AC-3, 192 kb/s, 6ch, default]; [en, AAC, 96 kb/s, 2ch]","[ru, ASS, default]; [ru, SRT]; [ru, SRT]; [en, SRT, default]","en,ru","en,ru"
"Downfall (2004) [imdbid-tt0363163] - [Bluray-1080p][EAC3 5.1][x265]-GalaxyRG265.mkv","movies","4.88 GiB","02:35:05","HEVC","Main 10","-","26568 kb/s","24.000","1920x1080","[de, E-AC-3, 384 kb/s, 6ch, default]","[en, SRT, default]","de","en"
"The Secret Life of Walter Mitty (2013) [imdbid-tt0359950] - [WEBDL-1080p][AAC 2.0][x264]-SOFCJ.mkv","movies","4.03 GiB","01:49:50","AVC","High","-","5000 kb/s","25.000","1920x1080","[ru, AAC, 317 kb/s, 2ch, default]","","ru",""
"Das Boot (1981) [imdbid-tt0082096] - {Restored} [Remux-1080p][AAC 5.1][HEVC]-VXT.mkv","movies","3.24 GiB","03:28:08","HEVC","Main 10","-","-","23.976","1920x1040","[de, AAC, -, 6ch, default]","","de",""
"Oppenheimer (2023) [imdbid-tt15398776] - [Bluray-1080p][AC3 5.1][x264].mkv","movies","17.01 GiB","03:00:22","AVC","High","-","10165 kb/s","23.976","1920x1080","[ru, AC-3, 384 kb/s, 6ch, default]; [ru, AC-3, 448 kb/s, 6ch]; [ru, AC-3, 448 kb/s, 6ch]; [ru, E-AC-3, 1024 kb/s, 6ch]; [en, E-AC-3, 1024 kb/s, 6ch, default]","[ru, SRT, default]; [ru, SRT]; [en, SRT, default]; [en, SRT]","en,ru","en,ru"
"How to Train Your Dragon 2 (2014) [imdbid-tt1646971] - [WEBDL-1080p][DTS 5.1][x264].mkv","movies","10.86 GiB","01:41:55","AVC","High","-","12962 kb/s","23.976","1920x816","[ru, DTS, 768 kb/s, 6ch, default]; [en, DTS, 1509 kb/s, 6ch, default]","[ru, SRT]; [en, SRT, default]","en,ru","en,ru"
"Harry Potter and the Prisoner of Azkaban (2004) [imdbid-tt0304141] - [WEBDL-2160p][AC3 5.1][h265]-SOFCJ.mkv","movies","15.9 GiB","02:21:42","HEVC","Main","-","12052 kb/s","23.976","3840x2160","[ru, AC-3, 640 kb/s, 6ch, default]; [ru, AC-3, 448 kb/s, 6ch]; [ru, AC-3, 192 kb/s, 2ch]; [ru, AC-3, 448 kb/s, 6ch]; [ru, DTS, 754 kb/s, 6ch]; [en, DTS, 1510 kb/s, 6ch, default]","[ru, SRT, default]; [ru, SRT]; [en, SRT, default]","en,ru","en,ru"
"Gladiator (2000) [imdbid-tt0172495] - {10th Anniversary Remastered} [Bluray-1080p][DTS 5.1][x264].mkv","movies","16.37 GiB","02:50:58","AVC","High","-","11273 kb/s","23.976","1920x816","[ru, DTS, 768 kb/s, 6ch]; [en, DTS, 1509 kb/s, 6ch, default]; [en, Vorbis, 80 kb/s, 2ch]; [en, Vorbis, 80 kb/s, 2ch]","[ru, SRT]; [ru, SRT]; [en, SRT, default]; [ru, SRT]","en,ru","en,ru"
"Logan (2017) [imdbid-tt3315342] - [WEBDL-1080p][DTS 5.1][x264].mkv","movies","18.57 GiB","02:17:23","AVC","High","-","12518 kb/s","23.976","1920x808","[ru, DTS, 768 kb/s, 6ch, default]; [ru, DTS, 1510 kb/s, 6ch]; [ru, DTS, 1510 kb/s, 6ch]; [ru, DTS, 1509 kb/s, 6ch]; [en, DTS, 1509 kb/s, 6ch, default]","[ru, SRT, default]; [ru, SRT]; [ru, SRT]; [en, SRT, default]; [en, SRT]","en,ru","en,ru"
"Inside Out 2 (2024) [imdbid-tt22022452] - [WEBDL-1080p][AC3 5.1][x264].mkv","movies","12.59 GiB","01:36:20","AVC","High","-","15433 kb/s","24.000","1920x804","[ru, AC-3, 448 kb/s, 6ch, default]; [ru, AC-3, 640 kb/s, 6ch]; [ru, AC-3, 384 kb/s, 2ch]; [ru, AC-3, 384 kb/s, 2ch]; [ru, AC-3, 640 kb/s, 6ch]; [en, E-AC-3, 768 kb/s, 6ch, default]","[ru, SRT, default|forced]; [ru, SRT]; [en, SRT, default]; [en, SRT]","en,ru","en,ru"
"The Empire Strikes Back (1980) [imdbid-tt0080684] - [WEBDL-1080p][EAC3 5.1][x264].mkv","movies","5.87 GiB","02:02:11","AVC","Progressive High","-","6000 kb/s","25.000","1920x1080","[ru, E-AC-3, 448 kb/s, 6ch, default]; [en, E-AC-3, 448 kb/s, 6ch, default]","[ru, SRT]; [en, SRT, default]","en,ru","en,ru"
"How to Train Your Dragon (2010) [imdbid-tt0892769] - [WEBDL-1080p][EAC3 5.1][x264].mkv","movies","4.72 GiB","01:38:23","AVC","Progressive High","-","6000 kb/s","23.976","1920x816","[ru, E-AC-3, 448 kb/s, 6ch, default]; [en, E-AC-3, 448 kb/s, 6ch, default]","[ru, SRT]; [en, SRT, default]","en,ru","en,ru"
"The Martian (2015) [imdbid-tt3659388] - [WEBDL-1080p][AC3 5.1][h264].mkv","movies","5.52 GiB","02:15:50","AVC","High","-","4977 kb/s","25.000","1920x1080","[ru, AC-3, 384 kb/s, 6ch, default]; [en, AC-3, 448 kb/s, 6ch, default]","[ru, SRT]; [en, SRT, default]","en,ru","en,ru"
"Harry Potter and the Goblet of Fire (2005) [imdbid-tt0330373] - [Bluray-1080p][AC3 5.1][x264]-SOFCJ.mkv","movies","23.18 GiB","02:37:05","AVC","High","-","9132 kb/s","23.976","1920x800","[ru, AC-3, 448 kb/s, 6ch, default]; [ru, AC-3, 192 kb/s, 1ch]; [ru, AC-3, 448 kb/s, 6ch]; [ru, AC-3, 192 kb/s, 2ch]; [ru, AC-3 Blu-ray Disc, 1536 kb/s, 8ch]; [ru, AC-3 Blu-ray Disc, 1536 kb/s, 8ch]; [ru, AC-3 Blu-ray Disc, 1536 kb/s, 8ch]; [ru, AC-3 Blu-ray Disc, 1536 kb/s, 8ch]; [ru, AC-3, 192 kb/s, 2ch]; [ru, AC-3 Blu-ray Disc, 1536 kb/s, 8ch]; [ru, AC-3, 448 kb/s, 6ch]; [ru, AC-3, 448 kb/s, 6ch]; [en, AC-3 Blu-ray Disc, 1536 kb/s, 8ch, default]; [en, AC-3, 192 kb/s, 2ch]; [en, AC-3, 192 kb/s, 2ch]","[ru, SRT, default]; [ru, SRT]; [ru, SRT]; [en, SRT, default]; [ru, SRT]","en,ru","en,ru"
"The Lord of the Rings The Fellowship of the Ring (2001) [imdbid-tt0120737] - [WEBDL-1080p][DTS 2.0][x264].mkv","movies","31.08 GiB","03:48:10","AVC","High","-","12216 kb/s","23.976","1920x804","[ru, DTS, 1509 kb/s, 2ch, default]; [ru, AC-3, 384 kb/s, 6ch]; [ru, E-AC-3, 768 kb/s, 6ch]; [ru, E-AC-3, 768 kb/s, 6ch]; [ru, E-AC-3, 768 kb/s, 6ch]; [ru, E-AC-3, 768 kb/s, 6ch]; [ru, E-AC-3, 768 kb/s, 6ch]; [ru, E-AC-3, 768 kb/s, 6ch]; [en, E-AC-3, 768 kb/s, 6ch, default]","[ru, ASS]; [ru, SRT]; [ru, SRT]; [ru, SRT]; [en, SRT, default]; [en, SRT]","en,ru","en,ru"
"X-Men Apocalypse (2016) [imdbid-tt3385516] - [WEBDL-1080p][DTS 5.1][x264].mkv","movies","15.57 GiB","02:23:56","AVC","High","-","13200 kb/s","23.976","1920x800","[ru, DTS, 768 kb/s, 6ch, default]; [en, DTS, 1509 kb/s, 6ch, default]","[ru, SRT, default]; [ru, SRT]; [en, SRT, default]; [en, SRT]","en,ru","en,ru"
"Star Wars Episode III Revenge of the Sith (2005) [imdbid-tt0121766] - [WEBDL-1080p][EAC3 5.1][x264].mkv","movies","5.57 GiB","02:14:30","AVC","Progressive High","-","5028 kb/s","25.000","1920x804","[ru, E-AC-3, 448 kb/s, 6ch, default]; [en, E-AC-3, 448 kb/s, 6ch, default]","[ru, SRT]; [en, SRT, default]","en,ru","en,ru"
"Star Wars (1977) [imdbid-tt0076759] - [WEBDL-1080p][AC3 5.1][h264].mkv","movies","4.62 GiB","02:05:01","AVC","High","-","4518 kb/s","23.976","1920x802","[ru, AC-3, 384 kb/s, 6ch, default]; [en, AC-3, 384 kb/s, 6ch, default]","[ru, SRT, default]; [ru, SRT]; [en, SRT, default]","en,ru","en,ru"
"Pirates of the Caribbean The Curse of the Black Pearl (2003) [imdbid-tt0325980] - [WEBDL-1080p][AC3 5.1][x264].mkv","movies","11.62 GiB","02:23:17","AVC","Progressive High","-","6000 kb/s","23.976","1920x1080","[ru, AC-3, 640 kb/s, 6ch, default]; [ru, AC-3, 448 kb/s, 6ch]; [ru, AC-3, 192 kb/s, 2ch]; [ru, AC-3, 384 kb/s, 6ch]; [ru, E-AC-3, 768 kb/s, 6ch]; [ru, E-AC-3, 768 kb/s, 6ch]; [ru, E-AC-3, 768 kb/s, 6ch]; [ru, AC-3, 224 kb/s, 2ch]; [ru, AC-3, 448 kb/s, 6ch]; [ru, AC-3, 192 kb/s, 2ch]; [en, E-AC-3, 448 kb/s, 6ch, default]; [en, AC-3, 192 kb/s, 2ch]; [en, AC-3, 192 kb/s, 2ch]; [en, AC-3, 192 kb/s, 2ch]","[ru, SRT, default]; [ru, SRT]; [ru, SRT]; [ru, SRT]; [ru, SRT]; [ru, SRT]; [ru, SRT]; [en, SRT, default]; [en, SRT]; [en, SRT]; [en, SRT]; [en, SRT]; [en, SRT]","en,ru","en,ru"
"Jurassic Park (1993) [imdbid-tt0107290] - [Bluray-1080p][AC3 5.1][x264].mkv","movies","18.12 GiB","02:06:36","AVC","High","-","17000 kb/s","23.976","1920x1040","[ru, AC-3, 448 kb/s, 6ch, default]; [ru, AC-3, 384 kb/s, 6ch]; [ru, DTS, 754 kb/s, 6ch]; [ru, AC-3, 384 kb/s, 6ch]; [en, DTS, 1509 kb/s, 6ch, default]","[ru, SRT]; [ru, SRT]; [en, SRT, default]","en,ru","en,ru"
"The Godfather (1972) [imdbid-tt0068646] - [Bluray-1080p Proper][AAC 5.1][x265]-Tigole.mkv","movies","9.5 GiB","02:55:28","HEVC","Main 10","-","7252 kb/s","23.976","1920x1040","[en, AAC, 396 kb/s, 6ch, default]; [en, AAC, 66 kb/s, 2ch]","[en, VobSub, default]; [en, VobSub, forced]; [en, VobSub]; [ru, VobSub]","en","en,ru"
"Zootopia (2016) [imdbid-tt2948356] - [Bluray-1080p][AC3 5.1][x264].mkv","movies","12.11 GiB","01:48:32","AVC","High","-","11672 kb/s","23.976","1920x804","[ru, AC-3, 640 kb/s, 6ch, default]; [ru, DTS, 1509 kb/s, 6ch]; [en, DTS, 1509 kb/s, 6ch, default]; [en, AC-3, 320 kb/s, 2ch]","[ru, SRT]; [en, SRT, default]; [en, SRT]; [en, SRT]","en,ru","en,ru"
"Harry Potter and the Order of the Phoenix (2007) [imdbid-tt0373889] - {Extended} [WEBDL-1080p][AC3 5.1][x264].mkv","movies","8.08 GiB","02:12:22","AVC","High","-","7814 kb/s","29.970","1920x1080","[ru, AC-3, 640 kb/s, 6ch, default]; [en, E-AC-3, 192 kb/s, 6ch, default]; [en, AAC, 96 kb/s, 2ch]","[ru, ASS, default]; [ru, SRT]; [ru, SRT]; [en, SRT, default]","en,ru","en,ru"
"The Hobbit The Desolation of Smaug (2013) [imdbid-tt1170358] - {Extended Open Matte} [WEBRip-1080p][AC3 5.1][x264].mkv","movies","10.6 GiB","03:06:35","AVC","High","-","4769 kb/s","23.976","1920x1080","[ru, AC-3, 640 kb/s, 6ch, default]; [ru, AC-3, 640 kb/s, 6ch]; [ru, AC-3, 640 kb/s, 6ch]; [ru, AC-3, 640 kb/s, 6ch]; [en, AC-3, 640 kb/s, 6ch, default]","[ru, SRT, default]; [ru, SRT]; [en, SRT, default]","en,ru","en,ru"
"The Lost World Jurassic Park (1997) [imdbid-tt0119567] - [Bluray-1080p][AC3 2.0][x264].mkv","movies","15.06 GiB","02:08:43","AVC","High","-","12000 kb/s","23.976","1920x1040","[ru, AC-3, 256 kb/s, 2ch, default]; [ru, DTS, 1509 kb/s, 6ch]; [ru, AC-3, 640 kb/s, 6ch]; [ru, AC-3, 384 kb/s, 6ch]; [ru, AC-3, 448 kb/s, 6ch]; [en, DTS, 1509 kb/s, 6ch, default]","[ru, SRT]; [ru, SRT, default]; [en, SRT, default]","en,ru","en,ru"
"The Hobbit The Battle of the Five Armies (2014) [imdbid-tt2310332] - {Extended} [Bluray-1080p][AC3 5.1][x264].mkv","movies","19.12 GiB","02:44:03","AVC","High","-","14202 kb/s","23.976","1920x800","[ru, AC-3, 448 kb/s, 6ch, default]; [en, DTS, 1509 kb/s, 6ch, default]; [en, AC-3, 192 kb/s, 2ch]","[ru, SRT, default]; [ru, SRT]; [en, SRT, default]; [en, SRT]","en,ru","en,ru"
"Star Wars Episode I The Phantom Menace (1999) [imdbid-tt0120915] - [WEBDL-1080p][EAC3 5.1][x264].mkv","movies","6.29 GiB","02:10:40","AVC","Progressive High","-","6000 kb/s","25.000","1920x804","[ru, E-AC-3, 448 kb/s, 6ch, default]; [en, E-AC-3, 448 kb/s, 6ch, default]","[ru, SRT]; [en, SRT, default]","en,ru","en,ru"
"Jurassic Park III (2001) [imdbid-tt0163025] - [Bluray-1080p][DTS 5.1][x264].mkv","movies","11.69 GiB","01:32:20","AVC","High","-","15000 kb/s","23.976","1920x1040","[ru, DTS, 768 kb/s, 6ch, default]; [ru, AC-3, 384 kb/s, 6ch]; [ru, AC-3, 448 kb/s, 6ch]; [en, DTS, 1509 kb/s, 6ch, default]","[ru, SRT, default|forced]; [ru, SRT]; [ru, SRT]; [en, SRT, default]","en,ru","en,ru"
"X-Men Days of Future Past (2014) [imdbid-tt1877832] - [Bluray-1080p][AC3 5.1][x264]-ETRG.mkv","movies","3.95 GiB","02:28:45","AVC","High","-","3354 kb/s","23.976","1920x800","[en, AC-3, 448 kb/s, 6ch, default]","[en, VobSub, default|forced]","en","en"
"Brother 2 (2000) [imdbid-tt0238883] - [WEBDL-1080p][EAC3 5.1][x264].mkv","movies","6.25 GiB","02:02:42","AVC","Main","-","7500 kb/s","25.000","1920x1080","","[ru, SRT, default]; [ru, SRT]; [en, SRT, default]","","en,ru"
"Star Wars Episode II Attack of the Clones (2002) [imdbid-tt0121765] - [WEBDL-1080p][AC3 5.1][h264].mkv","movies","5.25 GiB","02:22:39","AVC","High","-","4492 kb/s","23.976","1920x802","[ru, AC-3, 384 kb/s, 6ch, default]; [en, AC-3, 384 kb/s, 6ch, default]","[ru, SRT, default]; [ru, SRT]; [en, SRT, default]","en,ru","en,ru"
"The Intouchables (2011) [imdbid-tt1675434] - [WEBDL-1080p][DTS-HD MA 5.1][h264].mkv","movies","26.35 GiB","01:52:18","AVC","High","-","20862 kb/s","23.976","1920x1080","[ru, DTS, 3243 kb/s, 6ch, default]; [ru, DTS, 1960 kb/s, 6ch]; [ru, AC-3, 192 kb/s, 2ch]; [ru, DTS, 1869 kb/s, 6ch]; [ru, DTS, 1944 kb/s, 6ch]; [fr, DTS, 3495 kb/s, 6ch]","[ru, SRT]; [ru, SRT]; [en, SRT, default]; [en, SRT]","fr,ru","en,ru"
"Klaus (2019) [imdbid-tt4729430] - [WEBDL-2160p][EAC3 5.1][h265].mkv","movies","7.22 GiB","01:38:21","HEVC","Main 10","-","9105 kb/s","24.000","3840x2160","[ru, E-AC-3, 640 kb/s, 6ch, default]; [en, E-AC-3, 768 kb/s, 6ch, default]","[ru, SRT, default]; [ru, SRT]; [en, SRT, default]; [en, SRT]","en,ru","en,ru"
"X-Men (2000) [imdbid-tt0120903] - [Bluray-1080p][AAC 5.1][x265]-Tigole.mkv","movies","3.11 GiB","01:44:20","HEVC","Main 10","-","3751 kb/s","23.976","1920x818","[en, AAC, 432 kb/s, 6ch, default]; [en, AAC, 66 kb/s, 2ch]","[en, VobSub, default]","en","en"
"Incredibles 2 (2018) [imdbid-tt3606756] - [WEBDL-1080p][EAC3 5.1][x264]-SOFCJ.mkv","movies","5.42 GiB","01:53:01","AVC","Progressive High","-","6000 kb/s","25.000","1920x804","[ru, E-AC-3, 448 kb/s, 6ch, default]; [en, E-AC-3, 448 kb/s, 6ch, default]","[ru, SRT]; [en, SRT, default]","en,ru","en,ru"
"Inside Out (2015) [imdbid-tt2096673] - [WEBDL-1080p][AC3 5.1][x264].mkv","movies","9.54 GiB","01:34:49","AVC","High","-","11643 kb/s","23.976","1920x1080","[ru, AC-3, 640 kb/s, 6ch, default]; [en, DTS, 1509 kb/s, 6ch, default]; [en, AC-3, 320 kb/s, 2ch]","[ru, SRT]; [en, SRT, default]; [en, SRT]; [en, SRT]","en,ru","en,ru"
"Inglourious Basterds (2009) [imdbid-tt0361748] - [Bluray-1080p][DTS 5.1][x264].mkv","movies","17.22 GiB","02:32:59","AVC","High","-","8746 kb/s","23.976","1920x800","[ru, DTS, 768 kb/s, 6ch, default]; [ru, AC-3, 384 kb/s, 6ch]; [ru, DTS, 1510 kb/s, 6ch]; [ru, DTS, 1509 kb/s, 6ch]; [ru, DTS, 768 kb/s, 6ch]; [ru, AC-3, 448 kb/s, 6ch]; [ru, AC-3, 448 kb/s, 6ch]; [en, DTS, 1509 kb/s, 6ch, default]","[ru, SRT, default]; [ru, SRT]; [ru, SRT]; [ru, SRT]; [ru, SRT]; [ru, SRT]; [en, SRT, default]; [en, SRT]","en,ru","en,ru"
"Interstellar (2014) [imdbid-tt0816692] - {IMAX} [WEBDL-1080p][AC3 5.1][x264].mkv","movies","28.26 GiB","02:49:03","AVC","High","-","17231 kb/s","23.976","1920x1080","[ru, AC-3, 640 kb/s, 6ch, default]; [ru, DTS, 1509 kb/s, 6ch]; [ru, DTS, 1510 kb/s, 6ch]; [ru, DTS, 1510 kb/s, 6ch]; [en, DTS, 1509 kb/s, 6ch, default]","[ru, SRT, default]; [ru, SRT]; [ru, SRT]; [en, SRT, default]; [en, SRT]; [en, SRT]","en,ru","en,ru"
"Pirates of the Caribbean At Worlds End (2007) [imdbid-tt0449088] - [WEBDL-1080p][AC3 5.1][x264].mkv","movies","11.65 GiB","02:48:39","AVC","Progressive High","-","6000 kb/s","23.976","1920x1080","[ru, AC-3, 640 kb/s, 6ch, default]; [ru, E-AC-3, 768 kb/s, 6ch]; [ru, E-AC-3, 768 kb/s, 6ch]; [ru, E-AC-3, 768 kb/s, 6ch]; [ru, E-AC-3, 768 kb/s, 6ch]; [en, E-AC-3, 448 kb/s, 6ch, default]","[ru, SRT, default]; [ru, SRT]; [en, SRT, default]; [en, SRT]","en,ru","en,ru"
"How to Train Your Dragon The Hidden World (2019) [imdbid-tt2386490] - [Bluray-1080p][AC3 5.1][x264].mkv","movies","9.03 GiB","01:44:06","AVC","Progressive High","-","10945 kb/s","23.976","1920x816","[ru, AC-3, 640 kb/s, 6ch, default]; [ru, AC-3, 192 kb/s, 2ch]; [en, AC-3, 640 kb/s, 6ch, default]","[ru, SRT, default]; [ru, SRT]; [en, SRT, default]; [en, SRT]","en,ru","en,ru"
